BWTEST,BWTESTCD,SPECIES,STRAIN,SEX,BWSTRESM,BWSTRESSD,BWSTRESU,N
Body Weight,BW,DOG,BEAGLE,F,176.8557,1107.8005,g,907
Terminal Body Weight,TERMBW,DOG,BEAGLE,F,928.6941,2507.8186,g,1019
Body Weight,BW,DOG,BEAGLE,M,203.2617,1278.1591,g,915
Terminal Body Weight,TERMBW,DOG,BEAGLE,M,1116.7491,3037.2787,g,1026
Body Weight,BW,MONKEY,CYNOMOLGUS,F,58.4504,459.6079,g,1224
Terminal Body Weight,TERMBW,MONKEY,CYNOMOLGUS,F,492.3467,1187.2894,g,1243
Body Weight,BW,MONKEY,CYNOMOLGUS,M,93.2515,685.7867,g,1305
Terminal Body Weight,TERMBW,MONKEY,CYNOMOLGUS,M,633.9069,1627.5219,g,1313
Body Weight,BW,MOUSE,BALB/C,F,18.007,1.4482,g,128
Terminal Body Weight,TERMBW,MOUSE,BALB/C,F,19.4544,1.3201,g,90
Body Weight,BW,MOUSE,BALB/C,M,21.6804,1.5369,g,138
Terminal Body Weight,TERMBW,MOUSE,BALB/C,M,23.0656,2.0169,g,96
Body Weight,BW,MOUSE,C57BL/6,F,24.633,4.8171,g,179
Terminal Body Weight,TERMBW,MOUSE,C57BL/6,F,30.7642,12.7588,g,109
Body Weight,BW,MOUSE,C57BL/6,M,26.2963,8.0303,g,300
Terminal Body Weight,TERMBW,MOUSE,C57BL/6,M,34.3545,12.0989,g,213
Body Weight,BW,MOUSE,CB6F1-TGN (RASH2),F,18.74,1.9699,g,811
Terminal Body Weight,TERMBW,MOUSE,CB6F1-TGN (RASH2),F,22.2925,2.0917,g,480
Body Weight,BW,MOUSE,CB6F1-TGN (RASH2),M,23.2432,2.8576,g,838
Terminal Body Weight,TERMBW,MOUSE,CB6F1-TGN (RASH2),M,28.5905,3.5114,g,496
Body Weight,BW,RABBIT,NEW ZEALAND,F,936.957,1424.313,g,119
Terminal Body Weight,TERMBW,RABBIT,NEW ZEALAND,F,1570.2373,1538.0149,g,121
Body Weight,BW,RABBIT,NEW ZEALAND,M,725.0,1246.8079,g,113
Terminal Body Weight,TERMBW,RABBIT,NEW ZEALAND,M,1481.1784,1447.2253,g,111
Body Weight,BW,RAT,SPRAGUE-DAWLEY,F,175.2245,40.7714,g,5517
Terminal Body Weight,TERMBW,RAT,SPRAGUE-DAWLEY,F,279.3641,84.1932,g,4653
Body Weight,BW,RAT,SPRAGUE-DAWLEY,M,225.2983,77.2593,g,5678
Terminal Body Weight,TERMBW,RAT,SPRAGUE-DAWLEY,M,474.4061,160.2094,g,4763
Body Weight,BW,RAT,WISTAR HAN,F,149.4199,31.9102,g,1329
Terminal Body Weight,TERMBW,RAT,WISTAR HAN,F,218.5015,34.5423,g,1104
Body Weight,BW,RAT,WISTAR HAN,M,192.3349,59.3437,g,1380
Terminal Body Weight,TERMBW,RAT,WISTAR HAN,M,369.7203,94.0592,g,1140
